39083 ,369 ,305 ,412 
39114 ,372 ,319 ,410 
39142 ,374 ,339 ,453 
39173 ,396 ,355 ,433 
39203 ,393 ,344 ,430 
39234 ,404 ,371 ,456 
39264 ,422 ,378 ,464 
39295 ,415 ,361 ,482 
39326 ,434 ,385 ,474 
39356 ,429 ,386 ,504 
39387 ,434 ,379 ,510 
39417 ,452 ,394 ,510 
39448 ,446 ,383 ,494 
39479 ,462 ,398 ,514 
39508 ,458 ,405 ,528 
39539 ,468 ,428 ,522 
39569 ,491 ,441 ,531 
39600 ,486 ,457 ,540 
39630 ,485 ,453 ,535 
39661 ,479 ,442 ,539 
39692 ,482 ,418 ,547 
39722 ,477 ,409 ,555 
39753 ,436 ,424 ,484 
39783 ,422 ,390 ,497 
39814 ,419 ,438 ,582 
39845 ,453 ,452 ,551 
39873 ,458 ,432 ,535 
39904 ,463 ,452 ,585 
39934 ,460 ,445 ,594 
39965 ,475 ,455 ,580 
39995 ,478 ,468 ,559 
40026 ,499 ,472 ,569 
40057 ,491 ,453 ,569 
40087 ,487 ,441 ,566 
40118 ,473 ,448 ,575 
40148 ,472 ,446 ,579 
40179 ,476 ,477 ,595 
40210 ,474 ,454 ,576 
40238 ,476 ,427 ,545 
40269 ,452 ,411 ,553 
40299 ,459 ,427 ,562 
40330 ,448 ,442 ,581 
40360 ,465 ,432 ,565 
40391 ,488 ,421 ,578 
40422 ,482 ,422 ,598 
40452 ,476 ,433 ,593 
40483 ,498 ,447 ,577 
40513 ,483 ,446 ,569 
40544 ,500 ,469 ,566 
40575 ,492 ,446 ,569 
40603 ,483 ,441 ,561 
40634 ,482 ,449 ,538 
40664 ,473 ,449 ,557 
40695 ,482 ,435 ,543 
40725 ,496 ,428 ,557 
40756 ,473 ,426 ,554 
40787 ,464 ,419 ,545 
40817 ,470 ,443 ,525 
40848 ,477 ,445 ,547 
40878 ,465 ,417 ,552 
40909 ,473 ,435 ,528 
40940 ,480 ,434 ,554 
40969 ,462 ,415 ,613 
41000 ,444 ,438 ,552 
41030 ,499 ,425 ,533 
41061 ,475 ,420 ,529 
41091 ,619 ,444 ,512 
41122 ,596 ,460 ,524 
41153 ,532 ,422 ,516 
41183 ,450 ,419 ,527 
41214 ,434 ,431 ,525 
41244 ,554 ,421 ,524 
41275 ,552 ,438 ,568 
41306 ,480 ,424 ,534 
41334 ,481 ,434 ,559 
41365 ,476 ,431 ,523 
41395 ,461 ,444 ,531 
41426 ,442 ,424 ,516 
41456 ,527 ,436 ,562 
41487 ,450 ,443 ,515 
41518 ,461 ,454 ,514 
41548 ,459 ,435 ,538 
41579 ,466 ,442 ,520 
41609 ,455 ,447 ,553 
41640 ,473 ,447 ,536 
41671 ,467 ,435 ,639 
41699 ,466 ,432 ,536 
41730 ,463 ,459 ,541 
41760 ,483 ,451 ,525 
41791 ,526 ,448 ,533 
41821 ,470 ,474 ,556 
41852 ,473 ,450 ,544 
41883 ,464 ,450 ,557 
41913 ,482 ,442 ,582 
41944 ,482 ,441 ,568 
41974 ,496 ,460 ,598 
42005 ,490 ,447 ,558 
42036 ,486 ,457 ,540 
42064 ,498 ,450 ,562 
42095 ,491 ,454 ,575 
42125 ,486 ,445 ,557 
42156 ,488 ,467 ,548 
42186 ,494 ,457 ,575 
42217 ,489 ,474 ,582 
42248 ,497 ,480 ,574 
42278 ,514 ,473 ,585 
42309 ,514 ,478 ,587 
42339 ,532 ,480 ,582 
42370 ,515 ,487 ,586 
42401 ,538 ,483 ,589 
42430 ,517 ,469 ,595 
42461 ,541 ,484 ,615 
42491 ,521 ,510 ,620 
42522 ,537 ,515 ,630 
42552 ,586 ,502 ,616 
42583 ,544 ,501 ,642 
42614 ,544 ,517 ,651 
42644 ,541 ,526 ,658 
42675 ,561 ,519 ,658 
42705 ,553 ,518 ,637 
42736 ,631 ,519 ,634 
42767 ,558 ,519 ,662 
42795 ,533 ,526 ,701 
42826 ,534 ,519 ,688 
42856 ,553 ,545 ,695 
42887 ,548 ,542 ,706 
42917 ,583 ,555 ,713 
42948 ,583 ,538 ,701 
42979 ,601 ,548 ,744 
43009 ,592 ,564 ,745 
43040 ,610 ,561 ,775 
43070 ,613 ,589 ,797 
